Year,Country of asylum,Country of asylum (ISO),Refugees under UNHCR mandate,Asylum seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
2023,Aruba,ABW,0,0,0,17000,0,1700,0
2023,Afghanistan,AFG,52162,227,3252741,0,0,947281,33712
2023,Albania,ALB,3828,5,0,0,2126,0,1178
2023,Egypt,EGY,300128,84154,0,0,10,0,0
2023,Argentina,ARG,4109,11689,0,214771,24,81620,475
2023,Armenia,ARM,34757,628,0,0,531,0,0
2023,Australia,AUS,54430,90549,0,0,8313,0,2500
2023,Austria,AUT,277158,35743,0,0,3301,0,0
2023,Azerbaijan,AZE,6280,159,658793,0,3585,0,0
2023,Belgium,BEL,156921,40880,0,0,939,0,678
2023,Benin,BEN,2675,6588,0,0,0,0,0
2023,Belarus,BLR,31602,344,0,0,5586,0,0
2023,Brazil,BRA,193976,89519,0,310148,5,0,0
2023,Bosnia and Herzegovina,BIH,310,65,96305,0,31,0,1299
2023,Bulgaria,BGR,189577,9595,0,0,998,0,0
2023,Canada,CAN,150192,169092,0,0,4084,0,0
2023,China,CHN,287,757,0,0,0,0,0
2023,Chile,CHL,2173,12440,0,436060,1728,83995,1728
2023,Colombia,COL,1497,23839,6886426,2452890,11,876000,541665
2023,Cuba,CUB,157,22,0,0,0,0,7
2023,Cyprus,CYP,33872,34268,0,0,77,0,0
2023,Czechia,CZE,351338,1046,0,0,1577,0,537
2023,Denmark,DNK,69337,2563,0,0,11408,0,0
2023,Dominican Rep.,DOM,665,2543,0,114805,0,0,0
2023,Ecuador,ECU,61441,9364,0,495481,0,0,0
2023,Estonia,EST,40371,214,0,0,68110,0,0
2023,Fiji,FJI,16,5,0,0,0,0,0
2023,Finland,FIN,80189,5988,0,0,3403,0,0
2023,France,FRA,641626,65222,0,0,4111,0,1752
2023,United Kingdom of Great Britain and Northern Ireland,GBR,365262,175438,0,0,5596,0,349
2023,Georgia,GEO,26096,931,294431,0,526,0,0
2023,Germany,DEU,2509506,349034,0,0,29562,0,0
2023,Ghana,GHA,6866,4209,0,0,0,0,0
2023,Greece,GRC,169393,17785,0,0,4488,0,3638
2023,Guyana,GUY,32,116,0,19635,0,0,0
2023,China Hong Kong SAR,HKG,304,0,0,0,0,0,0
2023,Croatia,HRV,23789,1273,0,0,733,0,435
2023,Hungary,HUN,57939,5,0,0,143,0,0
